تاريخ الزيارة,تاريخ المتابعة,المنطقة + الطابق,اسم العيادة,رقم الزيارة,اسم الشخص,المسمى الوظيفي,رقم الموبايل,مستوى الاهتمام,نوع الزيارة,نتيجة الزيارة,حالة التنفيذ,تواريخ كل الزيارات,ملاحظات ,ملاحظات المتابعة
12/4/2026,23/4/2026,Hawally,Dr Huda Al Safar,2,yasmin ,—,99415010,عالي,متابعة,مهتم,متابعة,"• 11/02/2026
• 12/04/2026","• 11/02A4:O4/2026: كتير مهتمة ولازم عيد عليها واتصال بها
• 12/04/2026: اتصل للموعد - yasmin 99415010 - rim 99915180",اتصال متابعة
12/4/2026,23/4/2026,Hawally - F. 3,Eterna 3,3,—,—,—,عالي,عرض منتج,مهتم,متابعة,"• 11/02/2026
• 15/02/2026
• 12/04/2026","• 15/02/2026: اجريت موعد وقال الدكتور سننظر للامر
• 11/02/2026: الاحد ساعة 3
• 12/04/2026: لح ياخد مني سيناشور باقرب وقت احكيه ب 16.4.2026",زيارة ميدانية
20/4/2026,23/4/2026,Shaab - F. 13,Cure Clinic,2,—,—,—,عالي,عرض منتج,تم,تم,"• 12/02/2026
• 20/04/2026","• 12/02/2026: اخدت عينات السيناشور لح تعمل سبونسر وتشوف التفاعل
• 20/04/2026: لح ياخد عن قريب",اتصال متابعة
15/03/2026,23/04/2026,Shaab - F. 9,Nova,1,—,—,—,عالي,عرض منتج,عرض سعر,متابعة,• 15/03/2026,• 15/03/2026: دكتور جمال عبد الرازق سيطلب فيما بعد يريد سعر مميز - ramadan,زيارة ميدانية
16/02/2026,23/04/2026,Hawally - F. 17,Cure Clinic,1,—,—,66975660,عالي,عرض منتج,طلب عرض سعر,متابعة,• 16/02/2026,• 16/02/2026: طلب مني عرض سعر ب 5 بوكسات جورج,اتصال متابعة
16/02/2026,23/04/2026,Hawally - F. 13,Cure Clinic ,1,—,—,—,عالي,عرض منتج,أخذ عينة,متابعة,• 16/02/2026,• 16/02/2026: اخدت عينات واحبت المنتج سيتم الطلب عن قريب,زيارة ميدانية
16/02/2026,23/04/2026,Hawally - F. 16,Cure Clinic ,1,—,—,—,عالي,عرض منتج,مهتم,متابعة,• 16/02/2026,• 16/02/2026: الختيارة انصدمت قالت سعرنا جيد بس تخلص بتطلب,زيارة ميدانية
20/04/2026,23/04/2026,Mazaya Bneid Al-Gar,beauty clinic-,1,—,—,—,عالي,عرض منتج,مهتم,متابعة,• 20/04/2026,• 20/04/2026: حبو المنتج كثيرا لح يحكو الادارة - مهتمة جدا,زيارة ميدانية
12/04/2026,23/04/2026,Hawally,Sherifa Al Awadi,1,—,—,94975755,متوسط,متابعة,مهتم,متابعة,"• 11/02/2026
• 12/04/2026","• 11/02/2026: filipin candella call me
• 12/04/2026: اهتمت وابعت لها على الواتس",اتصال متابعة
12/4/2026,23/04/2026,Hawally,Al Andalus,3,—,—,94471604,متوسط,عرض منتج,موعد,متابعة,"• 11/02/2026
• 15/02/2026
• 12/04/2026","• 11/02/2026: اتصل واخذ موعد كانديلا
• 15/02/2026: قال الدكتور سيتصل بي - My Skin Andalos
• 12/04/2026: يجب الاتصال اخذ موعد",اتصال متابعة
12/4/2026,23/04/2026,Hawally,Renew,3,—,—,—,متوسط,متابعة,موعد,متابعة,"• 11/02/2026
• 17/02/2026
• 12/04/2026","• 11/02/2026: الثلاثاء ساعة 3
• 17/02/2026: الثلاثاء قالت اجي بعد رمضان بس لازم اجي ب 24.2.2026
• 12/04/2026: appointment talete se3a 3",زيارة ميدانية
12/4/2026,23/04/2026,Hawally,My Skin ,2,—,—,1805544,متوسط,عرض منتج,متابعة,متابعة,"• 11/02/2026
• 12/04/2026","• 11/02/2026: زيارة مرة اخرى
 Gherfe Tenye 2 • 12/04/2026: مرة اخرى مشغول",اتصال متابعة
12/02/2026,23/04/2026,Shaab,Cure Clinic 8-Shaab,1,—,—,66821232,متوسط,عرض منتج,مهتم,متابعة,• 12/02/2026,• 12/02/2026: احبت الفكرة كتير و عندهن سيناشور لازم يجربو,اتصال متابعة
12/02/2026,23/04/2026,Shaab - F. 10,Cure Clinic ,3,—,—,—,متوسط,عرض منتج,عرض,متابعة,"• 19/08/2025
• 28/08/2025
• 12/02/2026","• 19/08/2025: After 4PM
• 28/08/2025: doctor msefar
• 12/02/2026: اخدت البرشور وقالت عندهن منها ستعرضها على الدكتور",زيارة ميدانية
12/02/2026,23/04/2026,Shaab - F. 11,Cure Clinic ,1,—,—,—,متوسط,عرض منتج,متابعة,متابعة,• 12/02/2026,• 12/02/2026: قالت المسوول بطابق 17,زيارة ميدانية
12/02/2026,23/04/2026,Shaab - F. 12,Cure Clinic ,1,—,—,—,متوسط,عرض منتج,موعد,متابعة,• 12/02/2026,• 12/02/2026: الاحد بعد ساعة 1 - الاحد بعد ساعة 3,زيارة ميدانية
12/02/2026,30/04/2026,Hawally,Rose Clinic,1,—,—,—,متوسط,عرض منتج,موعد,متابعة,• 12/02/2026,• 12/02/2026: الاحد ساعة 3,زيارة ميدانية
12/04/2026,23/04/2026,Hawally,Sherifa Al Awadi,2,—,—,94975755,متوسط,متابعة,مهتم,متابعة,"• 11/02/2026
• 12/04/2026","• 11/02/2026: filipin candella call me
• 12/04/2026: اهتمت وابعت لها على الواتس",اتصال متابعة
14/04/2026,23/04/2026,Hawally,Arkan,1,—,—,—,متوسط,عرض منتج,مهتم,متابعة,• 14/04/2026,• 14/04/2026: لح تطلب اخدت مني كل المعلومات,زيارة ميدانية
15/02/2026,23/04/2026,Hawally,My Skin - Andalos,1,—,—,—,متوسط,عرض منتج,متابعة,متابعة,• 15/02/2026,• 15/02/2026: قال الدكتور سيتصل بي,زيارة ميدانية
15/03/2026,23/04/2026,Shaab - F. 4,Nova ,1,—,—,—,متوسط,عرض منتج,مهتم,متابعة,• 15/03/2026,• 15/03/2026: كتير اهتمت بدها تطلب ترد خبر مرة تانية - ramadan,زيارة ميدانية
15/03/2026,23/04/2026,Shaab - F. 3,Nova ,1,—,—,—,متوسط,عرض منتج,متابعة,متابعة,• 15/03/2026,• 15/03/2026: المصري عندهم وسيطلب عند النفاذ - ramadan,زيارة ميدانية
15/03/2026,23/04/2026,Shaab - F. 8,Nova ,1,—,—,—,متوسط,عرض منتج,متابعة,متابعة,• 15/03/2026,• 15/03/2026: بس تخلص بتطلب - ramadan,زيارة ميدانية
15/03/2026,23/04/2026,Shaab - F. 7,Nova ,1,—,—,—,متوسط,عرض منتج,متابعة,متابعة,• 15/03/2026,• 15/03/2026: العيادة جديدة احبوها زيارة مرة اخرى - ramadan,زيارة ميدانية
16/02/2026,23/04/2026,Hawally - F. 15,Cure Clinic ,1,—,—,—,متوسط,عرض منتج,متابعة,متابعة,• 16/02/2026,• 16/02/2026: زيارة غدا,زيارة ميدانية
16/02/2026,23/04/2026,Hawally - F. 14,Cure Clinic ,1,—,—,—,متوسط,عرض منتج,متابعة,متابعة,• 16/02/2026,• 16/02/2026: عندهن عيادة هيفا بنوفا وهني احبو القطعة لازم روح عند نوفا شوف شو بدهن,زيارة ميدانية
20/04/2026,23/04/2026,Shaab - F. 16,Cure Clinic ,2,—,—,—,متوسط,عرض منتج,مهتم,متابعة,• 20/04/2026,• 20/04/2026: جايب جهاذ سيناشور ولح يطلب البروتكتف عن قريب,زيارة ميدانية
